rpeakpos,PH,PRT,PWA,RBAr,SLP1,SLP2,RBW10,RBW25,RBW33,RBW50,RBW66,RBW75,DBW10,DBW25,DBW33,DBW50,DBW66,DBW75,KVAL,AmBE,DfAmBE,sbps,dbps
834,0.2003910068426198,88,12.13196480938421,-0.1110708242687925,0.002277170532302497,-0.003498482276071411,13,34,49,79,77,63,50,46,43,38,32,18,0.4339108494533225,0.02787878787878786,0.001319648093841642,157.0405195831288,62.38595983439363
908,0.1925708699902249,17,6.186705767350947,-0.01501027018486356,0.01132769823471911,-0.00319764070447504,12,10,9,7,5,4,54,50,47,39,24,14,0.4607266898209988,0.01033235581622679,0.0009872922776148585,154.1070105000068,63.36379619543428
983,0.1925708699902248,15,22.87683284457489,0.004102038200230638,0.01283805799934832,-0.0006083847726076466,11,9,8,7,6,5,277,197,268,122,186,236,0.4501239523078767,0.05490713587487777,0.001212121212121212,156.8449523109207,62.1903925621855
1823,0.1182795698924731,23,8.92082111436951,-0.05095332018408962,0.005142589995324918,-0.001389103256675413,11,9,8,7,5,4,125,49,115,108,25,70,0.226742954015682,0.03430107526881718,0.001143695014662757,148.6311268781792,0
1974,0.1534701857282503,18,5.303030303030312,-0.02202764976958562,0.008526121429347238,-0.002286395944132413,11,10,9,7,6,5,50,45,43,40,22,9,0.5451236661427744,0.01688172043010753,0.0007233626588465302,151.369068689093,62.77709437880989
2048,0.155425219941349,16,5.643206256109494,0.01151914082799195,0.009714076246334313,-0.002544915225671622,12,10,9,8,6,5,48,42,41,37,12,7,0.55379908210097,0.03101661779081133,0.0009579667644183775,152.7380395945499,57.10564348477411
2123,0.1622678396871945,19,5.782991202346043,0.02265043948613864,0.008540412615115503,-0.003412423353772327,14,12,11,10,8,7,48,44,42,38,18,12,0.4389449690654516,0.0201368523949169,0.00112414467253177,153.1291741389662,61.21255620114485
2196,0.1749755620723363,17,5.676441837732167,0.003616325124848999,0.01029268012190213,-0.002810361681329424,13,11,10,8,6,5,50,42,40,36,32,17,0.5278946965638628,0.01206256109481918,0.0007526881720430112,153.3247414111743,63.75493073985054
2268,0.1994134897360704,22,14.21896383186706,0.02969888629176377,0.009064249533457745,-0.001806451612903226,17,15,14,13,11,10,50,45,113,103,86,24,0.4332066159797254,0.06440860215053761,0.001691104594330401,155.2804141332556,57.30121075698224
2556,0.2130987292277615,157,24.44623655913982,-0.08892976388028079,0.00135731674667364,-0.001581511416287183,153,114,32,126,53,141,115,56,108,60,62,83,0.4602555701179573,0.06243401759530789,0.001593352883675465,158.4094904885857,62.97266165101802
2769,0.1700879765395895,88,18.93059628543502,-0.04606010533925427,0.001932817915222607,-0.001595307917888563,21,36,44,78,58,61,114,107,105,92,83,73,0.4476552803410495,0.05949169110459431,0.001368523949169111,159.7784613940426,0
5225,0.2160312805474096,88,20.08015640273707,-0.02348846266186334,0.002454900915311473,-0.001599573447080778,82,80,38,49,60,65,47,108,40,101,63,83,0.505574920435601,0.04796676441837731,0.001407624633431085,160.1695959384589,64.92833437309933
6342,0.2062561094819159,21,19.03910068426198,0.008060789649329828,0.009821719499138853,-0.001215431322958205,15,13,12,11,9,8,123,111,42,169,162,23,0.392236515459266,0.05127077223851415,0.001632453567937439,156.6493850387125,61.40812347335298
6694,0.1827956989247312,160,26.59139784946241,-0.07673785979487405,0.00114247311827957,-0.001851719396959366,93,112,11,124,148,130,117,58,40,102,19,65,0.3983673777895361,0.03991202346041053,0.001466275659824047,155.0848468610475,62.38595983439363
8036,0.2033235581622678,90,9.442815249266879,-0.04937888198757667,0.00225915064624742,-0.002063647224937547,80,78,77,48,60,70,47,41,39,35,31,28,0.5622996794871801,0.03031280547409577,0.0008113391984359719,154.8892795888393,58.08347984581476
8671,0.1769305962854351,157,13.54349951124146,-0.1252977264525424,0.001126946473155637,-0.00274811412973312,91,110,121,127,133,59,46,42,40,35,30,23,0.4638253091291781,0.01239491691104593,0.0008406647116324539,153.9114432277987,61.21255620114485
8812,0.1759530791788856,89,9.816226783968752,-0.07727544313881593,0.0019770008896504,-0.002805836139169473,83,31,39,49,56,63,47,43,41,36,30,27,0.4768065268065275,0.04290322580645158,0.001231671554252199,155.0848468610475,60.82142165672859
8883,0.1534701857282503,15,14.09188660801568,-0.0002081021087681608,0.01023134571521669,-0.0009575677778442755,11,9,8,6,5,4,189,114,111,175,167,153,0.3369456938449008,0.03456500488758551,0.001231671554252199,155.86711594988,59.84358529568793
9516,0.1622678396871945,85,10.32502443792767,-0.09420118343195258,0.001909033408084642,-0.003744074955273982,25,33,38,76,57,73,48,44,41,36,32,24,0.3681246726034577,0.0348875855327468,0.001515151515151515,157.0405195831288,61.79925801776924
9727,0.173998044965787,156,15.24535679374391,-0.1196460630931009,0.001115372083114019,-0.003072196620583719,88,106,115,146,144,59,51,47,45,37,32,28,0.429669281322875,0.03112414467253176,0.001202346041055719,157.431654127545,61.79925801776924
9797,0.1681329423264908,17,5.064516129032272,0.03435630187222496,0.00989017307802887,-0.002970148131438454,13,11,10,9,7,7,45,40,38,34,29,24,0.5121334681496472,0.02931573802541546,0.0009970674486803528,156.2582504942963,62.58152710660176
