rpeakpos,PH,PRT,PWA,RBAr,SLP1,SLP2,RBW10,RBW25,RBW33,RBW50,RBW66,RBW75,DBW10,DBW25,DBW33,DBW50,DBW66,DBW75,KVAL,AmBE,DfAmBE,sbps,dbps
16140,0.4193548387096774,16,13.16226783968719,0.007909394727070277,0.02620967741935484,-0.006388280808998664,11,10,9,7,6,5,65,60,58,53,47,32,0.3299038126624333,-0.03696969696969698,0.002346041055718474,158.0183559441695,72.16432344480016
17020,0.364613880742913,16,13.42326490713588,0.003386251092339158,0.02278836754643206,-0.006421744324970132,11,9,9,7,6,5,65,59,57,51,27,21,0.2935961491591519,-0.1256891495601173,0.001221896383186706,156.2582504942963,74.11999616688146
17109,0.458455522971652,18,14.58651026392963,-0.002647098244203217,0.02546975127620289,-0.006502613795741426,12,10,10,8,7,6,63,58,56,52,46,30,0.3827414650883516,-0.1149169110459433,0.001417399804496578,148.2399923337629,74.11999616688146
17197,0.469208211143695,19,14.73118279569891,-0.02740544127405435,0.0246951690075629,-0.006432693217292593,12,10,9,8,6,5,56,53,51,47,28,16,0.470344650205761,-0.07636363636363634,0.001544477028347996,151.7602032335093,73.7288616224652
17285,0.4007820136852395,25,12.85190615835779,-0.1461874881156111,0.01603128054740958,-0.00652124425876083,11,9,8,7,6,5,66,61,59,55,50,31,0.2407416625186663,-0.07097751710654929,0.002121212121212121,159.9740286662507,73.7288616224652
17373,0.4164222873900293,15,12.22336265884653,0.01591427086248964,0.02776148582600195,-0.006729284429144175,11,9,9,7,6,5,62,58,56,53,48,30,0.2985133020344288,-0.0861974584555229,0.001847507331378299,154.302577772215,78.61804342766847
17459,0.4437927663734115,18,13.81427174975563,0.00962354939145214,0.02465515368741175,-0.006667542055120292,13,11,10,8,7,6,60,56,54,50,45,35,0.3683337652241516,-0.1186119257086999,0.001270772238514174,151.1735014168849,78.42247615546033
17545,0.4682306940371456,18,15.67448680351907,-0.00289990645463035,0.02601281633539698,-0.005208769724898757,12,10,9,8,7,6,63,58,56,52,47,30,0.4972480546593284,-0.1285239491691103,0.0004789833822091882,162.7119704771646,80.57371614974977
17631,0.4916911045943304,17,11.96383186705767,0.02606422093308282,0.02892300615260767,-0.007800969850305713,12,11,10,8,7,6,45,41,39,36,33,32,0.4638346392234827,-0.1096578690127076,0.001290322580645161,154.4981450444231,79.20474524429285
17716,0.4164222873900294,32,16.48582600195502,-0.152623777053069,0.01301319648093842,-0.006800119002082537,15,11,10,8,7,6,62,55,50,45,28,24,0.3374936085157808,-0.04410557184750732,0.002023460410557185,151.5646359613011,77.83577433883593
