rpeakpos,PH,PRT,PWA,RBAr,SLP1,SLP2,RBW10,RBW25,RBW33,RBW50,RBW66,RBW75,DBW10,DBW25,DBW33,DBW50,DBW66,DBW75,KVAL,AmBE,DfAmBE,sbps,dbps
2525,0.4252199413489736,24,47.17448680351902,-0.001129311327303423,0.01771749755620724,-0.001538263353717217,17,14,13,11,9,7,251,247,245,46,226,101,0.4293470286133529,0.1328934506353862,0.003411534701857283,90.93878157678068,0
2815,0.2825024437927664,24,8.254154447702835,-0.01723117006158223,0.01177093515803193,-0.005102639296187683,16,14,13,11,9,8,44,41,39,36,29,21,0.4595529785841206,0.05634408602150534,0.001994134897360704,91.32991612119694,51.04305804632206
19312,0.3167155425219941,23,19.83284457478005,0.01306126472472782,0.01377024097921713,-0.002507219448859439,17,15,14,12,10,8,124,57,53,108,70,93,0.3952821869488528,0.06428152492668618,0.002375366568914955,109.5176724365531,65.51503618972372
21234,0.383186705767351,96,37.5004887585533,-0.04853635012903054,0.003991528185076572,-0.003199146894161557,24,39,44,58,64,7,114,63,108,42,88,82,0.4496496755384182,0.1193743890518085,0.003030303030303031,107.1708651700555,63.36379619543428
21379,0.4056695992179863,21,51.45161290322585,0.006687565308254951,0.01931759996276125,-0.001717061883788959,16,14,13,11,9,8,136,256,121,245,146,229,0.3777610441767071,0.1207917888563051,0.003655913978494624,103.0639524536848,61.40812347335298
21678,0.5151515151515151,25,40.27859237536658,0.004586821987622922,0.02060606060606061,-0.002563382625153387,18,15,14,12,10,9,181,177,174,120,155,28,0.4018405181245599,0.1181329423264908,0.003949169110459433,102.8683851814766,59.84358529568793
21889,0.4281524926686217,21,33.32551319648094,0.005543822597676949,0.02038821393660104,-0.001995764092538286,16,13,12,10,8,7,186,184,109,104,96,24,0.4213775805518039,0.04396871945259042,0.002717497556207234,108.3442688033043,58.67018166243915
24173,0.552297165200391,24,30.58748778103618,0.00973123262279886,0.02301238188334962,-0.003525745461229332,17,15,14,12,10,8,110,106,104,97,86,28,0.5227891796899521,0.1059628543499512,0.003499511241446726,94.85012702094329,56.91007621256598
24712,0.5356793743890518,21,16.79667644183773,0.02147471337950315,0.0255085416375739,-0.01015851110727771,15,13,12,10,9,7,44,41,39,34,24,19,0.4575983373884834,0.1029325513196481,0.003851417399804497,108.7354033477206,55.34553803490093
25124,0.5024437927663734,276,74.51221896383186,-0.04755595203736263,0.001820448524515846,-0.007680491551459293,28,225,107,120,204,248,58,54,52,45,34,27,0.4573361798836126,-0.04773216031280544,0.002121212121212121,106.5841633534311,53.58543258502775
25194,0.487781036168133,22,28.7399804496579,0.01219346280738753,0.02217186528036968,-0.0035609551738584,16,14,13,11,9,8,120,61,63,46,97,29,0.4418702269403671,0.1088758553274683,0.003558162267839687,99.73930882614656,56.71450894035785
25339,0.4408602150537634,22,28.27761485826004,0.004442063053097259,0.02003910068426197,-0.003479037261104825,16,13,12,11,9,7,120,116,69,107,37,88,0.4337118111876662,0.1263147605083089,0.003450635386119257,101.6949815482279,59.6480180234798
25503,0.4926686217008797,21,17.06647116324537,0.03975027206598319,0.02346041055718475,-0.007771260997067448,16,14,13,11,9,8,53,49,47,40,30,24,0.4619096609837354,0.05571847507331377,0.003225806451612903,102.6728179092685,55.93223985152532
25578,0.3763440860215053,20,11.52785923753667,0.0006359704909691023,0.01881720430107527,-0.007073669243757219,14,12,11,9,7,6,48,45,43,39,29,22,0.4023203463203465,0.04872922776148582,0.002531769305962854,102.4772506370604,54.95440349048467
25649,0.3910068426197459,20,11.82453567937439,0.01157359566816832,0.0195503421309873,-0.007387773516805776,15,13,12,10,8,6,45,42,40,36,26,20,0.4394791666666665,0.09439882697947213,0.003040078201368525,102.0861160926441,55.73667257931719
25731,0.3763440860215053,20,11.78885630498534,0.01679104477611949,0.01881720430107527,-0.007002868451837251,15,13,12,10,8,7,55,52,50,46,35,27,0.3283629950296625,-0.0366080156402737,0.001808406647116324,109.1265378921368,53.97656712944402
27332,0.3626588465298142,21,11.13391984359727,-0.007287093942054182,0.01726946888237211,-0.006584407679964588,14,12,11,10,8,6,46,43,41,37,26,20,0.4452538792161436,0.06362658846529812,0.002473118279569892,104.8240579035579,57.10564348477411
27407,0.3440860215053763,20,10.59824046920821,0.006087437742114161,0.01720430107526882,-0.006516780710329097,14,12,11,9,8,6,48,44,42,38,28,22,0.4171145577395586,0.05259042033235579,0.002355816226783969,106.1930288090149,56.71450894035785
28830,0.5102639296187683,27,16.88465298142719,-0.01383662363225836,0.01889866405995438,-0.007855048177628823,19,15,14,12,10,8,50,46,44,40,28,23,0.4732723999446058,0.04904203323558159,0.002942326490713588,106.1930288090149,56.91007621256598
30822,0.4721407624633431,22,70.13782991202351,0.004466836699140119,0.02146094374833378,-0.001538741439016192,16,14,13,11,9,8,310,179,250,170,268,201,0.4231969560942249,0.1249560117302053,0.003734115347018573,101.1082797316035,61.60369074556111
31176,0.5180840664711632,21,16.6080156402737,0.02525014714537978,0.02467066983196015,-0.008986297611085386,16,13,12,11,9,8,51,47,45,41,30,24,0.4226656990807938,0.06164222873900291,0.003421309872922776,109.1265378921368,58.08347984581476
31629,0.3519061583577712,22,61.58162267839694,0.004809676497666626,0.01599573447080778,-0.001235512823820458,16,14,13,11,9,8,128,215,217,316,303,28,0.3857284970921337,0.07306940371456495,0.002619745845552296,113.0378833362994,56.91007621256598
34292,0.4007820136852395,21,22.97262952101664,0.01663758988979186,0.01908485779453522,-0.003216346608646297,16,14,13,11,9,8,117,51,58,105,94,88,0.4029604709840199,0.1036754643206256,0.003255131964809385,99.54374155393842,58.27904711802289
35301,0.364613880742913,25,31.89931573802544,0.006128765360218231,0.01458455522971652,-0.002090800477897252,18,15,14,13,10,9,173,63,121,127,103,90,0.4148695481592894,0.1182502443792767,0.003128054740957966,98.37033792068964,63.16822892322615
35517,0.3489736070381231,21,34.54545454545455,0.001952461799660362,0.0166177908113392,-0.001940516632308392,15,13,12,10,8,7,194,131,49,180,138,158,0.3859516900930781,0.06261974584555226,0.002521994134897361,104.0417888147254,57.30121075698224
36617,0.3636363636363636,22,23.00097751710661,0.003144921376965565,0.01652892561983471,-0.00317891741967273,15,13,12,11,9,7,115,46,109,102,88,81,0.4042269187986651,0.08428152492668622,0.002834799608993157,102.2816833648523,58.86574893464728
41242,0.3362658846529814,20,10.72727272727273,0.0119373063604885,0.01681329423264907,-0.005629150234267031,15,13,11,10,8,7,50,47,45,41,31,25,0.4359719737626713,0.0485923753665689,0.002316715542521994,110.4955087975937,59.06131620685541
41320,0.2864125122189639,19,9.813294232649092,0.008068532722382955,0.01507434274836652,-0.006185323760407186,14,11,11,9,7,6,50,46,44,38,28,22,0.3320774788351581,0.02384164222873901,0.001837732160312805,113.0378833362994,57.6923453013985
41400,0.4389051808406648,21,14.12609970674488,0.004290360528683128,0.02090024670669832,-0.007152166829586185,15,13,12,10,8,7,52,49,47,43,33,26,0.4159036542110038,0.02383186705767353,0.002502443792766374,113.4290178807157,59.06131620685541
41590,0.4652981427174976,144,70.99120234604108,-0.0498320114562679,0.003231237102204844,-0.002499720362021758,24,39,98,109,113,115,71,190,188,183,115,104,0.4038789428815011,0.1466862170087977,0.004027370478983382,111.0822106142181,62.58152710660176
45936,0.4389051808406648,23,69.21016617790809,0.001271150532470859,0.01908283394959412,-0.001267362295119235,16,14,13,11,9,8,204,333,272,325,311,303,0.4346807619718054,0.1170967741935484,0.003421309872922777,113.4290178807157,52.80316349619523
47211,0.4789833822091887,20,16.71358748778103,0.01643467072172199,0.02394916911045943,-0.006984288891722272,15,13,12,10,8,7,61,58,56,51,38,31,0.3953221738133458,-0.09805474095796671,0.0016911045943304,118.318199685919,57.88791257360663
