rpeakpos,PH,PRT,PWA,RBAr,SLP1,SLP2,RBW10,RBW25,RBW33,RBW50,RBW66,RBW75,DBW10,DBW25,DBW33,DBW50,DBW66,DBW75,KVAL,AmBE,DfAmBE,sbps,dbps
116,0.2903225806451613,28,10.66226783968721,-0.03360073344029358,0.01036866359447004,-0.004650611688734856,19,15,14,12,10,8,58,54,52,47,37,29,0.3748119492800341,-0.1617302052785924,0.0001955034213098728,142.5685414397271,76.07566888896277
878,0.3196480938416422,32,11.83773216031283,-0.08286540049545839,0.009989002932551319,-0.005025048875855327,19,16,14,12,10,8,56,52,50,45,35,26,0.3929663608562691,-0.1814565004887584,4.887585532746819e-05,143.937512345184,0
1258,0.3558162267839687,30,13.23998044965786,-0.03477426261582199,0.01186054089279896,-0.005754737804685775,19,17,15,13,10,9,56,51,49,44,33,24,0.41280458671763,-0.1760899315738025,0.0003323558162267837,142.372974167519,75.88010161675463
1354,0.343108504398827,32,13.12121212121211,-0.08831855769947124,0.01072214076246334,-0.004614455752975677,19,16,14,12,9,8,59,54,51,46,36,28,0.4348433048433048,-0.1698338220918866,7.82013685239491e-05,143.1552432563515,76.85793797779529
1449,0.3176930596285434,28,11.94721407624635,-0.02998690885288844,0.01134618070101941,-0.005444018347244153,19,16,14,12,10,8,57,53,51,46,37,28,0.358577336641853,-0.1748973607038123,0.0003421309872922773,142.372974167519,76.66237070558715
1544,0.3362658846529814,29,12.72825024437927,-0.07334306120881678,0.01159537533286143,-0.004986753934860527,17,14,13,11,8,7,60,56,54,49,40,27,0.3839285714285716,-0.202160312805474,-7.82013685239491e-05,142.372974167519,76.07566888896277
1640,0.3597262952101661,28,12.50048875855328,-0.005708476696903408,0.01284736768607736,-0.005079883979936861,20,17,15,13,11,9,54,50,48,44,35,27,0.469986565705911,-0.1942521994134897,-0.0001661779081133918,142.372974167519,76.07566888896277
1735,0.3470185728250245,34,13.7243401759531,-0.07859686609686635,0.01020642861250072,-0.005419469840722214,21,17,15,13,10,9,60,55,53,47,37,30,0.3664181165423914,-0.1579178885630499,0.000596285434995113,143.1552432563515,77.05350525000341
1830,0.335288367546432,25,12.10654936461389,-0.05522809850625769,0.01341153470185728,-0.004972587020272854,16,13,12,10,7,6,60,55,53,48,40,31,0.3828546616214878,-0.1900097751710655,0.0001466275659824046,142.5685414397271,76.66237070558715
1925,0.3333333333333333,29,12.24633431085045,-0.03400383141762461,0.01149425287356322,-0.005094937646257294,19,16,15,12,10,8,59,55,53,48,40,29,0.3924988424139527,-0.1851906158357772,8.797653958944273e-05,142.1774068953109,76.07566888896277
2021,0.3450635386119257,29,13.0215053763441,-0.0275504841978832,0.01189874271075606,-0.004470703237306652,20,17,15,12,10,8,60,56,54,49,33,27,0.4587190794661367,-0.1796480938416422,-0.0001173020527859236,142.9596759841434,76.66237070558715
2116,0.3372434017595308,27,12.76930596285436,-0.0127841996478607,0.01249049636146411,-0.006038533093683979,19,16,15,12,10,8,54,50,48,43,32,25,0.3817944960104215,-0.1871456500488758,0.0003714565004887593,142.7641087119353,76.46680343337903
2211,0.3528836754643206,34,13.12903225806452,-0.1087409723773363,0.01037893163130355,-0.005456588027603915,19,16,15,12,10,8,60,55,53,48,40,29,0.3592880063629635,-0.1897751710654936,0.0002443792766373409,142.372974167519,76.07566888896277
2307,0.3607038123167155,29,12.68328445747802,-0.02250481695568396,0.01243806249367984,-0.005147238514173998,20,17,16,13,10,9,58,53,51,47,41,30,0.4312148497829068,-0.1831378299120235,6.842619745845547e-05,142.5685414397271,76.07566888896277
2402,0.3567937438905182,31,13.13587487781038,-0.03743116535198703,0.01150947560937155,-0.005498533724340176,20,17,16,14,11,9,58,53,51,45,34,27,0.4045854361932229,-0.1494232649071359,0.000596285434995113,142.7641087119353,77.44463979441967
2497,0.3264907135874877,30,12.27859237536658,-0.04426399172040464,0.01088302378624959,-0.005391154951272252,19,16,15,13,10,9,59,54,52,47,38,29,0.3574725548902196,-0.1452590420332356,0.0006256109481915928,142.7641087119353,76.46680343337903
3355,0.3421309872922776,30,12.25024437927665,-0.03878072135333552,0.01140436624307592,-0.004187274769845786,20,16,15,12,10,9,60,55,53,48,39,33,0.4693372606774662,-0.199364613880743,-0.0004203323558162275,142.372974167519,0
3450,0.3352883675464321,29,13.05083088954058,-0.02276982997528298,0.01156166784642869,-0.005482595945429046,19,17,15,13,10,9,61,57,55,49,40,30,0.3436365799964303,-0.1657086999022483,0.0005669599217986321,142.9596759841434,76.85793797779529
3546,0.3450635386119257,26,12.95552297165201,0.003508507186780674,0.01327167456199714,-0.005450398412275245,19,16,15,12,10,9,59,54,52,47,38,26,0.3969084862667815,-0.1619648093841644,0.0004887585532746819,142.7641087119353,76.27123616117089
3641,0.3362658846529814,28,12.1989247311828,-0.04375175287471478,0.01200949588046362,-0.004902396397997571,19,15,14,11,9,7,58,54,52,48,38,26,0.414893617021277,-0.1952590420332355,-6.842619745845547e-05,142.1774068953109,75.88010161675463
3736,0.3401759530791789,30,13.08015640273707,-0.05477916448695905,0.01133919843597263,-0.004462578095116664,19,16,14,12,9,8,61,56,53,47,36,31,0.4459247648902822,-0.1671847507331379,7.82013685239491e-05,143.3508105285597,76.85793797779529
